99,0.15:28,0.15:30,EMSLO,0.15:28,0:00:02,EMS
99,0.16:38,0.16:42,TeSC,0.16:38,0:00:04,VaLO
99,0.17:25,0.18:11,VaLO,0.17:25,0:00:46,Fi9t
99,0.19:46,0.20:00,SDPR,0.19:46,0:00:14,PTC
99,0.21:52,0.22:02,PTC,0.21:52,0:00:10,Pomona
65,0.03:50,0.04:10,Pomona,0.03:50,0:00:20,Pomona
65,0.04:10,0.04:25,Pomona,0.04:10,0:00:15,MTC
65,0.05:49,0.05:51,EMS,0.05:49,0:00:02,EMSLO
65,0.06:03,0.06:05,EMSLO,0.06:03,0:00:02,EMS
65,0.06:49,0.06:53,PHM,0.06:49,0:00:04,PHMLO
65,0.07:09,0.07:10,PHMLO,0.07:09,0:00:01,PHM
65,0.08:28,0.08:30,PTC,0.08:28,0:00:02,PTCLO
65,0.09:28,0.09:30,PTCLO,0.09:28,0:00:02,PTC
65,0.10:25,0.10:27,MTC,0.10:25,0:00:02,MTCLO
65,0.10:33,0.10:35,MTCLO,0.10:33,0:00:02,MTC
65,0.12:10,0.12:12,EMS,0.12:10,0:00:02,EMSLO
65,0.12:28,0.12:30,EMSLO,0.12:28,0:00:02,EMS
65,0.13:57,0.14:03,CiGL,0.13:57,0:00:06,CiCLO
40,0.14:03,0.14:11,CiCLO,0.14:03,0:00:08,CiGL
40,0.15:55,0.15:57,EMS,0.15:55,0:00:02,EMSLO
40,0.16:08,0.16:10,EMSLO,0.16:08,0:00:02,EMS
40,0.17:02,0.17:06,PHM,0.17:02,0:00:04,PHMLO
40,0.17:19,0.17:20,PHMLO,0.17:19,0:00:01,PHM
40,0.18:53,0.19:03,PTC,0.18:53,0:00:10,Pomona
115,0.03:55,0.04:15,Pomona,0.03:55,0:00:20,Pomona
115,0.04:15,0.05:05,Pomona,0.04:15,0:00:50,EMS
115,0.06:01,0.06:05,TeSC,0.06:01,0:00:04,VaLO
115,0.06:15,0.06:30,VaLO,0.06:15,0:00:15,CoTC
115,0.07:30,0.08:25,9thHo,0.07:30,0:00:55,Pomona
130,0.13:35,0.13:55,Pomona,0.13:35,0:00:20,Pomona
130,0.13:55,0.14:45,Pomona,0.13:55,0:00:50,EMS
130,0.15:53,0.15:57,TeSC,0.15:53,0:00:04,VaLO
130,0.16:14,0.17:00,VaLO,0.16:14,0:00:46,Fi9t
130,0.18:09,0.18:39,GrPR,0.18:09,0:00:30,Pomona
67,0.03:55,0.04:15,Pomona,0.03:55,0:00:20,Pomona
67,0.04:15,0.04:30,Pomona,0.04:15,0:00:15,MTC
67,0.05:42,0.06:32,9thHo,0.05:42,0:00:50,IMPR
67,0.07:42,0.08:19,9thHo,0.07:42,0:00:37,PHMLO
67,0.09:12,0.09:13,PHMLO,0.09:12,0:00:01,PHM
67,0.09:53,0.09:55,EMS,0.09:53,0:00:02,EMSLO
67,0.10:08,0.10:10,EMSLO,0.10:08,0:00:02,EMS
67,0.10:56,0.11:00,PHM,0.10:56,0:00:04,PHMLO
67,0.11:12,0.11:13,PHMLO,0.11:12,0:00:01,PHM
67,0.11:55,0.11:57,EMS,0.11:55,0:00:02,EMSLO
67,0.12:08,0.12:10,EMSLO,0.12:08,0:00:02,EMS
67,0.13:00,0.13:04,PHM,0.13:00,0:00:04,PHMLO
67,0.13:12,0.13:13,PHMLO,0.13:12,0:00:01,PHM
67,0.13:55,0.13:57,EMS,0.13:55,0:00:02,EMSLO
67,0.13:57,0.14:13,EMSLO,0.13:57,0:00:16,EMSLO
14,0.14:13,0.14:15,EMSLO,0.14:13,0:00:02,EMS
14,0.15:42,0.15:48,CiGL,0.15:42,0:00:06,CiCLO
14,0.16:37,0.17:00,CiCLO,0.16:37,0:00:23,PTC
14,0.18:28,0.18:32,PHM,0.18:28,0:00:04,PHMLO
14,0.18:44,0.18:45,PHMLO,0.18:44,0:00:01,PHM
14,0.20:15,0.20:17,PTC,0.20:15,0:00:02,PTCLO
14,0.20:28,0.20:30,PTCLO,0.20:28,0:00:02,PTC
14,0.21:37,0.22:17,PHM,0.21:37,0:00:40,Pomona
114,0.03:55,0.04:15,Pomona,0.03:55,0:00:20,Pomona
114,0.04:15,0.04:45,Pomona,0.04:15,0:00:30,IMPR
114,0.05:41,0.06:18,9thHo,0.05:41,0:00:37,PHMLO
114,0.06:34,0.06:35,PHMLO,0.06:34,0:00:01,PHM
114,0.08:16,0.08:56,PHM,0.08:16,0:00:40,Pomona
131,0.15:10,0.15:30,Pomona,0.15:10,0:00:20,Pomona
131,0.15:30,0.15:45,Pomona,0.15:30,0:00:15,TeSC
131,0.16:50,0.16:52,EMS,0.16:50,0:00:02,EMSLO
131,0.16:59,0.17:01,EMSLO,0.16:59,0:00:02,EMS
131,0.18:09,0.18:24,TeSC,0.18:09,0:00:15,Pomona
66,0.03:55,0.04:15,Pomona,0.03:55,0:00:20,Pomona
66,0.04:15,0.04:45,Pomona,0.04:15,0:00:30,GrPR
66,0.05:48,0.06:28,9thHo,0.05:48,0:00:40,CiCLO
66,0.06:42,0.06:50,CiCLO,0.06:42,0:00:08,CiGL
66,0.08:15,0.08:38,EMS,0.08:15,0:00:23,RiVa
66,0.10:12,0.10:14,PTC,0.10:12,0:00:02,PTCLO
66,0.10:28,0.10:30,PTCLO,0.10:28,0:00:02,PTC
66,0.12:29,0.12:31,PTC,0.12:29,0:00:02,PTCLO
66,0.12:31,0.13:28,PTCLO,0.12:31,0:00:57,PTCLO
6,0.13:28,0.13:30,PTCLO,0.13:28,0:00:02,PTC
6,0.14:25,0.15:20,CTC,0.14:25,0:00:55,Fi9t
6,0.16:50,0.16:52,MTC,0.16:50,0:00:02,MTCLO
6,0.16:59,0.17:01,MTCLO,0.16:59,0:00:02,MTC
6,0.17:51,0.17:53,PTC,0.17:51,0:00:02,PTCLO
6,0.18:33,0.18:35,PTCLO,0.18:33,0:00:02,PTC
6,0.19:22,0.19:25,RiVa,0.19:22,0:00:03,TeSC
6,0.20:27,0.20:29,EMS,0.20:27,0:00:02,EMSLO
6,0.20:38,0.20:40,EMSLO,0.20:38,0:00:02,EMS
6,0.21:37,0.21:41,TeSC,0.21:37,0:00:04,VaLO
6,0.21:53,0.21:55,VaLO,0.21:53,0:00:02,TeSC
6,0.22:53,0.23:45,EMS,0.22:53,0:00:52,Pomona
5,0.04:00,0.04:20,Pomona,0.04:00,0:00:20,Pomona
5,0.04:20,0.04:30,Pomona,0.04:20,0:00:10,PTC
5,0.05:38,0.06:00,PHM,0.05:38,0:00:22,EMSLO
5,0.06:19,0.06:21,EMSLO,0.06:19,0:00:02,EMS
5,0.07:23,0.07:27,TeSC,0.07:23,0:00:04,VaLO
5,0.08:11,0.08:13,VaLO,0.08:11,0:00:02,TeSC
5,0.09:17,0.09:19,EMS,0.09:17,0:00:02,EMSLO
5,0.09:28,0.09:30,EMSLO,0.09:28,0:00:02,EMS
5,0.11:08,0.11:10,MTC,0.11:08,0:00:02,MTCLO
5,0.11:28,0.11:30,MTCLO,0.11:28,0:00:02,MTC
5,0.12:20,0.12:22,PTC,0.12:20,0:00:02,PTCLO
102,0.12:22,0.12:24,PTCLO,0.12:22,0:00:02,PTC
102,0.13:25,0.13:30,MTC,0.13:25,0:00:05,CTC
102,0.14:29,0.14:39,PTC,0.14:29,0:00:10,VaLO
102,0.14:53,0.14:55,VaLO,0.14:53,0:00:02,TeSC
102,0.15:45,0.15:49,PHM,0.15:45,0:00:04,PHMLO
102,0.16:42,0.16:43,PHMLO,0.16:42,0:00:01,PHM
102,0.17:29,0.17:31,EMS,0.17:29,0:00:02,EMSLO
102,0.17:38,0.17:40,EMSLO,0.17:38,0:00:02,EMS
102,0.18:32,0.18:36,PHM,0.18:32,0:00:04,PHMLO
102,0.18:43,0.18:44,PHMLO,0.18:43,0:00:01,PHM
102,0.19:28,0.19:30,EMS,0.19:28,0:00:02,EMSLO
102,0.19:38,0.19:40,EMSLO,0.19:38,0:00:02,EMS
102,0.20:27,0.20:31,PHM,0.20:27,0:00:04,PHMLO
102,0.20:44,0.20:45,PHMLO,0.20:44,0:00:01,PHM
102,0.21:51,0.22:01,PTC,0.21:51,0:00:10,Pomona
68,0.04:00,0.04:20,Pomona,0.04:00,0:00:20,Pomona
68,0.04:20,0.05:00,Pomona,0.04:20,0:00:40,PHM
68,0.05:37,0.05:39,EMS,0.05:37,0:00:02,EMSLO
68,0.05:45,0.05:47,EMSLO,0.05:45,0:00:02,EMS
68,0.06:46,0.06:50,TeSC,0.06:46,0:00:04,VaLO
68,0.07:33,0.07:35,VaLO,0.07:33,0:00:02,TeSC
68,0.08:39,0.08:41,EMS,0.08:39,0:00:02,EMSLO
68,0.08:58,0.09:00,EMSLO,0.08:58,0:00:02,EMS
68,0.10:38,0.10:40,MTC,0.10:38,0:00:02,MTCLO
68,0.10:47,0.11:00,MTCLO,0.10:47,0:00:13,PTC
68,0.12:52,0.13:02,PTC,0.12:52,0:00:10,Pomona
129,0.15:11,0.15:31,Pomona,0.15:11,0:00:20,Pomona
129,0.15:31,0.16:42,Pomona,0.15:31,0:01:11,Fi9t
129,0.18:01,0.18:31,SDPR,0.18:01,0:00:30,Pomona
69,0.04:05,0.04:25,Pomona,0.04:05,0:00:20,Pomona
69,0.04:25,0.05:05,Pomona,0.04:25,0:00:40,PHM
69,0.06:04,0.06:20,PTC,0.06:04,0:00:16,GrPR
