3,0.10:28,0.10:40
5,0.12:22,0.12:32
6,0.13:13,0.13:18
6,0.13:18,0.13:28
8,0.13:18,0.13:23
8,0.13:23,0.13:33
11,0.11:43,0.11:58
14,0.13:23,0.13:28
14,0.13:28,0.14:13
15,0.11:58,0.12:43
17,0.12:52,0.13:02
18,0.13:13,0.13:18
18,0.13:18,0.13:28
21,0.13:33,0.13:43
23,0.12:23,0.12:35
25,0.13:28,0.13:38
28,0.15:01,0.15:06
28,0.15:06,0.15:16
31,0.15:43,0.15:48
31,0.15:48,0.16:03
33,0.16:13,0.16:18
33,0.16:18,0.16:28
35,0.08:59,0.09:04
35,0.09:04,0.09:19
36,0.09:10,0.09:15
36,0.09:15,0.09:30
40,0.13:28,0.13:33
40,0.13:33,0.14:03
42,0.10:50,0.11:02
42,0.14:45,0.14:50
42,0.14:50,0.15:00
43,0.09:19,0.09:34
49,0.15:37,0.15:42
49,0.15:42,0.15:52
50,0.16:00,0.16:05
50,0.16:05,0.16:20
51,0.15:12,0.15:17
51,0.15:17,0.15:32
52,0.11:22,0.11:32
53,0.11:16,0.11:28
55,0.14:49,0.14:54
55,0.14:54,0.15:09
56,0.14:13,0.14:18
56,0.14:18,0.14:28
58,0.16:49,0.16:54
58,0.16:54,0.17:09
59,0.07:40,0.07:45
59,0.07:45,0.08:00
59,0.11:47,0.12:02
59,0.15:07,0.15:12
59,0.15:12,0.15:32
60,0.13:33,0.13:48
61,0.13:53,0.13:58
61,0.13:58,0.14:43
63,0.17:17,0.17:22
63,0.17:22,0.17:42
64,0.12:43,0.13:28
65,0.14:03,0.14:38
66,0.13:28,0.13:38
67,0.14:13,0.14:58
70,0.13:16,0.13:28
71,0.15:19,0.15:34
72,0.13:56,0.14:06
74,0.13:47,0.14:02
75,0.13:26,0.13:56
76,0.15:16,0.15:26
77,0.13:13,0.13:58
78,0.15:00,0.15:10
79,0.16:03,0.16:18
81,0.16:28,0.16:38
84,0.14:53,0.15:38
85,0.14:28,0.14:38
89,0.15:52,0.16:02
90,0.10:08,0.10:13
90,0.10:13,0.10:28
91,0.10:13,0.10:18
91,0.10:18,0.10:28
92,0.10:30,0.10:35
92,0.10:35,0.10:50
93,0.10:56,0.11:01
93,0.11:01,0.11:16
94,0.11:07,0.11:12
94,0.11:12,0.11:22
95,0.11:08,0.11:13
95,0.11:13,0.11:58
96,0.11:23,0.11:28
96,0.11:28,0.11:43
99,0.11:53,0.11:58
99,0.11:58,0.12:43
100,0.12:03,0.12:08
100,0.12:08,0.12:23
102,0.12:07,0.12:12
102,0.12:12,0.12:22
104,0.12:23,0.12:28
104,0.12:28,0.13:13
107,0.12:37,0.12:42
107,0.12:42,0.12:52
108,0.12:41,0.12:46
108,0.12:46,0.13:26
111,0.08:44,0.08:59
111,0.11:27,0.11:32
111,0.11:32,0.11:47
111,0.14:00,0.14:15
112,0.08:00,0.08:15
112,0.10:06,0.10:11
112,0.10:11,0.10:31
112,0.13:43,0.13:58
113,0.09:20,0.09:35
113,0.13:31,0.13:36
113,0.13:36,0.13:56
113,0.17:08,0.17:23
114,0.12:48,0.12:53
114,0.12:53,0.13:08
114,0.17:09,0.17:24
115,0.10:07,0.10:12
115,0.10:12,0.10:27
115,0.13:56,0.14:16
116,0.09:20,0.09:40
116,0.13:40,0.13:45
116,0.13:45,0.14:00
116,0.16:20,0.16:35
117,0.15:32,0.15:52
119,0.15:32,0.15:47
122,0.13:20,0.13:25
122,0.13:25,0.13:40
122,0.17:41,0.17:56
123,0.12:56,0.13:01
123,0.13:01,0.13:16
124,0.09:30,0.09:45
124,0.13:23,0.13:28
124,0.13:28,0.13:43
124,0.17:56,0.18:11
126,0.12:16,0.12:21
126,0.12:21,0.12:36
126,0.17:42,0.18:02
127,0.10:27,0.10:42
131,0.10:31,0.10:51
133,0.13:13,0.13:18
133,0.13:18,0.13:33
138,0.13:41,0.13:46
138,0.13:46,0.13:56
139,0.13:27,0.13:32
139,0.13:32,0.13:47
140,0.08:24,0.08:29
140,0.08:29,0.08:44
140,0.13:08,0.13:23
140,0.17:21,0.17:26
140,0.17:26,0.17:41
141,0.08:55,0.09:00
141,0.09:00,0.09:20
141,0.12:36,0.12:51
141,0.16:48,0.16:53
141,0.16:53,0.17:08
142,0.09:00,0.09:05
142,0.09:05,0.09:20
142,0.13:40,0.13:55
142,0.17:36,0.17:41
142,0.17:41,0.17:56
143,0.10:28,0.10:38
