67,0.09:53,0.09:55,EMS,EMSLO
67,0.10:08,0.10:10,EMSLO,EMS
67,0.10:56,0.11:00,PHM,PHMLO
67,0.11:12,0.11:13,PHMLO,PHM
67,0.11:55,0.11:57,EMS,EMSLO
67,0.12:08,0.12:10,EMSLO,EMS
67,0.13:00,0.13:04,PHM,PHMLO
67,0.13:12,0.13:13,PHMLO,PHM
67,0.13:55,0.13:57,EMS,EMSLO
67,0.13:57,0.14:13,EMSLO,EMSLO
14,0.14:13,0.14:15,EMSLO,EMS
14,0.15:42,0.15:48,CiGL,CiCLO
14,0.16:37,0.17:00,CiCLO,PTC
14,0.18:28,0.18:32,PHM,PHMLO
14,0.18:44,0.18:45,PHMLO,PHM
14,0.20:15,0.20:17,PTC,PTCLO
14,0.20:28,0.20:30,PTCLO,PTC
14,0.21:37,0.22:17,PHM,Pomona
114,0.03:55,0.04:15,Pomona,Pomona
114,0.04:15,0.04:45,Pomona,IMPR
114,0.05:41,0.06:18,9thHo,PHMLO
114,0.06:34,0.06:35,PHMLO,PHM
114,0.08:16,0.08:56,PHM,Pomona
131,0.15:10,0.15:30,Pomona,Pomona
131,0.15:30,0.15:45,Pomona,TeSC
131,0.16:50,0.16:52,EMS,EMSLO
131,0.16:59,0.17:01,EMSLO,EMS
131,0.18:09,0.18:24,TeSC,Pomona
66,0.03:55,0.04:15,Pomona,Pomona
66,0.04:15,0.04:45,Pomona,GrPR
66,0.05:48,0.06:28,9thHo,CiCLO
66,0.06:42,0.06:50,CiCLO,CiGL
66,0.08:15,0.08:38,EMS,RiVa
66,0.10:12,0.10:14,PTC,PTCLO
66,0.10:28,0.10:30,PTCLO,PTC
66,0.12:29,0.12:31,PTC,PTCLO
66,0.12:31,0.13:28,PTCLO,PTCLO
6,0.13:28,0.13:30,PTCLO,PTC
6,0.14:25,0.15:20,CTC,Fi9t
6,0.16:50,0.16:52,MTC,MTCLO
6,0.16:59,0.17:01,MTCLO,MTC
6,0.17:51,0.17:53,PTC,PTCLO
6,0.18:33,0.18:35,PTCLO,PTC
6,0.19:22,0.19:25,RiVa,TeSC
6,0.20:27,0.20:29,EMS,EMSLO
6,0.20:38,0.20:40,EMSLO,EMS
6,0.21:37,0.21:41,TeSC,VaLO
6,0.21:53,0.21:55,VaLO,TeSC
6,0.22:53,0.23:45,EMS,Pomona
5,0.04:00,0.04:20,Pomona,Pomona
5,0.04:20,0.04:30,Pomona,PTC
5,0.05:38,0.06:00,PHM,EMSLO
5,0.06:19,0.06:21,EMSLO,EMS
5,0.07:23,0.07:27,TeSC,VaLO
5,0.08:11,0.08:13,VaLO,TeSC
5,0.09:17,0.09:19,EMS,EMSLO
5,0.09:28,0.09:30,EMSLO,EMS
5,0.11:08,0.11:10,MTC,MTCLO
5,0.11:28,0.11:30,MTCLO,MTC
5,0.12:20,0.12:22,PTC,PTCLO
102,0.12:22,0.12:24,PTCLO,PTC
102,0.13:25,0.13:30,MTC,CTC
102,0.14:29,0.14:39,PTC,VaLO
102,0.14:53,0.14:55,VaLO,TeSC
102,0.15:45,0.15:49,PHM,PHMLO
102,0.16:42,0.16:43,PHMLO,PHM
102,0.17:29,0.17:31,EMS,EMSLO
102,0.17:38,0.17:40,EMSLO,EMS
102,0.18:32,0.18:36,PHM,PHMLO
102,0.18:43,0.18:44,PHMLO,PHM
102,0.19:28,0.19:30,EMS,EMSLO
102,0.19:38,0.19:40,EMSLO,EMS
102,0.20:27,0.20:31,PHM,PHMLO
102,0.20:44,0.20:45,PHMLO,PHM
102,0.21:51,0.22:01,PTC,Pomona
68,0.04:00,0.04:20,Pomona,Pomona
68,0.04:20,0.05:00,Pomona,PHM
68,0.05:37,0.05:39,EMS,EMSLO
68,0.05:45,0.05:47,EMSLO,EMS
68,0.06:46,0.06:50,TeSC,VaLO
68,0.07:33,0.07:35,VaLO,TeSC
68,0.08:39,0.08:41,EMS,EMSLO
68,0.08:58,0.09:00,EMSLO,EMS
68,0.10:38,0.10:40,MTC,MTCLO
68,0.10:47,0.11:00,MTCLO,PTC
68,0.12:52,0.13:02,PTC,Pomona
129,0.15:11,0.15:31,Pomona,Pomona
129,0.15:31,0.16:42,Pomona,Fi9t
129,0.18:01,0.18:31,SDPR,Pomona
69,0.04:05,0.04:25,Pomona,Pomona
69,0.04:25,0.05:05,Pomona,PHM
69,0.06:04,0.06:20,PTC,GrPR
69,0.07:40,0.08:40,9thHo,CTC
69,0.09:29,0.09:31,PTC,PTCLO
69,0.10:28,0.10:30,PTCLO,PTC
69,0.11:39,0.11:43,PHM,PHMLO
69,0.12:14,0.12:15,PHMLO,PHM
69,0.13:35,0.13:45,PTC,Pomona
128,0.14:05,0.14:25,Pomona,Pomona
128,0.14:25,0.15:00,Pomona,CiGL
128,0.16:25,0.16:27,EMS,EMSLO
128,0.16:44,0.16:46,EMSLO,EMS
128,0.17:54,0.18:09,TeSC,Pomona
118,0.04:10,0.04:30,Pomona,Pomona
118,0.04:30,0.05:20,Pomona,EMS
118,0.06:17,0.06:21,TeSC,VaLO
118,0.06:31,0.06:33,VaLO,TeSC
118,0.07:34,0.07:36,EMS,EMSLO
118,0.07:46,0.07:48,EMSLO,EMS
118,0.08:51,0.09:06,TeSC,Pomona
118,0.12:30,0.12:50,Pomona,Pomona
118,0.12:50,0.13:05,Pomona,MTC
118,0.14:41,0.14:43,EMS,EMSLO
118,0.14:55,0.15:35,EMSLO,Fi9t
118,0.17:06,0.17:21,MTC,Pomona
117,0.04:10,0.04:30,Pomona,Pomona
117,0.04:30,0.05:00,Pomona,IMPR
117,0.05:56,0.06:46,9thHo,IMPR
117,0.07:58,0.08:53,9thHo,Pomona
27,0.15:00,0.15:20,Pomona,Pomona
27,0.15:20,0.15:30,Pomona,PTC
27,0.16:25,0.16:27,MTC,MTCLO
27,0.16:33,0.16:35,MTCLO,MTC
27,0.18:16,0.18:18,EMS,EMSLO
27,0.18:28,0.18:30,EMSLO,EMS
27,0.20:15,0.20:17,MTC,MTCLO
27,0.21:13,0.21:15,MTCLO,MTC
27,0.22:41,0.22:43,EMS,EMSLO
27,0.23:03,0.23:05,EMSLO,EMS
27,0.23:46,1.00:26,PHM,Pomona
7,0.04:10,0.04:30,Pomona,Pomona
7,0.04:30,0.04:45,Pomona,MTC
7,0.05:59,0.06:39,9thHo,CiCLO
7,0.07:22,0.07:30,CiCLO,CiGL
7,0.08:55,0.08:57,EMS,EMSLO
7,0.09:08,0.09:10,EMSLO,EMS
7,0.09:56,0.10:00,PHM,PHMLO
7,0.10:12,0.10:13,PHMLO,PHM
7,0.10:53,0.11:38,EMS,Pomona
109,0.12:50,0.13:10,Pomona,Pomona
109,0.13:10,0.14:00,Pomona,EMS
109,0.15:45,0.15:47,MTC,MTCLO
109,0.15:58,0.16:00,MTCLO,MTC
109,0.16:50,0.16:52,PTC,PTCLO
109,0.16:57,0.16:59,PTCLO,PTC
109,0.17:54,0.17:56,MTC,MTCLO
109,0.18:33,0.18:35,MTCLO,MTC
109,0.20:09,0.20:11,EMS,EMSLO
109,0.20:28,0.20:30,EMSLO,EMS
109,0.22:04,0.22:19,MTC,Pomona
119,0.04:10,0.04:30,Pomona,Pomona
119,0.04:30,0.04:45,Pomona,MTC
119,0.06:09,0.06:37,EMS,SDPR
119,0.07:56,0.08:51,9thHo,Pomona
12,0.13:20,0.13:40,Pomona,Pomona
12,0.13:40,0.13:55,Pomona,TeSC
12,0.14:44,0.14:48,PHM,PHMLO
12,0.14:56,0.15:33,PHMLO,Fi9t
12,0.16:50,0.17:40,IMPR,Fi9t
12,0.19:25,0.19:30,GrPR,CiGL
12,0.20:49,0.20:51,EMS,EMSLO
12,0.20:58,0.21:00,EMSLO,EMS
12,0.22:16,0.22:48,CiGL,Pomona
71,0.04:10,0.04:30,Pomona,Pomona
71,0.04:30,0.04:45,Pomona,TeSC
71,0.05:40,0.05:42,EMS,EMSLO
71,0.05:56,0.05:58,EMSLO,EMS
71,0.06:57,0.07:01,TeSC,VaLO
71,0.07:23,0.07:25,VaLO,TeSC
71,0.08:12,0.08:16,PHM,PHMLO
71,0.08:24,0.08:25,PHMLO,PHM
71,0.09:08,0.09:12,TeSC,VaLO
71,0.09:58,0.10:00,VaLO,TeSC
71,0.11:03,0.11:05,EMS,EMSLO
71,0.11:28,0.11:30,EMSLO,EMS
71,0.12:32,0.12:36,TeSC,VaLO
71,0.12:43,0.12:45,VaLO,TeSC
71,0.13:49,0.13:51,EMS,EMSLO
71,0.13:58,0.14:00,EMSLO,EMS
71,0.15:05,0.15:09,TeSC,VaLO
55,0.15:09,0.15:11,VaLO,TeSC
55,0.16:15,0.16:19,PHM,PHMLO
55,0.16:24,0.16:25,PHMLO,PHM
55,0.17:13,0.17:17,TeSC,VaLO
55,0.17:29,0.18:15,VaLO,Fi9t
55,0.19:43,0.19:58,MTC,Pomona
70,0.04:00,0.04:20,Pomona,Pomona
70,0.04:20,0.04:50,Pomona,GrPR
70,0.06:03,0.06:38,9thHo,EMSLO
70,0.06:43,0.06:45,EMSLO,EMS
70,0.08:07,0.08:13,CiGL,CiCLO
70,0.09:08,0.09:30,CiCLO,PTC
70,0.10:40,0.11:10,PHM,VaLO
70,0.11:23,0.11:25,VaLO,TeSC
70,0.12:13,0.12:17,PHM,PHMLO
70,0.12:24,0.12:25,PHMLO,PHM
70,0.13:12,0.13:16,TeSC,VaLO
123,0.13:16,0.13:18,VaLO,TeSC
123,0.14:12,0.14:16,PHM,PHMLO
123,0.14:24,0.14:25,PHMLO,PHM
123,0.15:13,0.15:17,TeSC,VaLO
123,0.15:36,0.16:22,VaLO,Fi9t
123,0.17:41,0.18:11,SDPR,Pomona
9,0.04:15,0.04:35,Pomona,Pomona
9,0.04:35,0.05:10,Pomona,CiGL
9,0.06:23,0.06:25,EMS,EMSLO
9,0.06:38,0.06:40,EMSLO,EMS
9,0.07:24,0.07:28,PHM,PHMLO
9,0.07:39,0.07:40,PHMLO,PHM
9,0.09:00,0.09:02,PTC,PTCLO
9,0.09:58,0.10:00,PTCLO,PTC
9,0.11:52,0.12:02,PTC,Pomona
101,0.12:05,0.12:25,Pomona,Pomona
101,0.12:25,0.12:35,Pomona,PTC
101,0.14:14,0.14:24,PTC,VaLO
101,0.15:13,0.15:15,VaLO,TeSC
101,0.16:20,0.16:22,EMS,EMSLO
101,0.16:29,0.16:31,EMSLO,EMS
101,0.17:39,0.17:43,TeSC,VaLO
101,0.17:53,0.17:55,VaLO,TeSC
101,0.19:00,0.19:02,EMS,EMSLO
101,0.19:08,0.19:10,EMSLO,EMS
